file,line,pattern,exception,comment,operation,risk,b09_related,processed
api/customer/takeout-orders.php,72,A,PDOException $e,,join_select,High,,1
api/customer/takeout-orders.php,115,A,PDOException $e,,select_fetch,High,,1
api/customer/takeout-orders.php,190,A,PDOException $e,,select_fetch,High,,1
api/customer/takeout-orders.php,245,A,PDOException $e,,select_fetch,High,,1
api/customer/takeout-orders.php,294,A,PDOException $e,,select_fetch,High,,1
api/customer/takeout-orders.php,373,A,PDOException $e,,update,Medium,,
api/customer/takeout-orders.php,381,D,Exception $e,stripe-connect.php 未存在やカラム未存在時はスキップ（C-3にフォールスルー）,update,Medium,,
api/customer/takeout-orders.php,401,A,PDOException $e,,update,Medium,,
api/customer/takeout-payment.php,75,D,Exception $e,stripe-connect.php 未存在やカラム未存在時はスキップ（C-3にフォールスルー）,unknown,Low,,
api/customer/takeout-payment.php,131,A,PDOException $e,,schema_sniff,Low,,
api/customer/takeout-payment.php,142,D,PDOException $e,payments記録失敗は致命的ではない（注文ステータスは更新済み）,insert,Medium,,
api/customer/ui-translations.php,33,D,PDOException $e,テーブル未作成時は空オブジェクト,select_fetch,High,,
api/kds/call-alerts.php,35,A,PDOException $e,,schema_sniff,Low,,
api/kds/call-alerts.php,104,D,PDOException $e,type カラムが無い場合は従来通り,select_fetch,High,,
api/kds/call-alerts.php,152,D,PDOException $e,order_items テーブル未作成時はスキップ,execute_unknown,Medium,,
api/kds/close-table.php,74,D,PDOException $e,table_sessions/time_limit_plans 未作成時はスキップ,join_select,High,,
api/kds/close-table.php,118,D,PDOException $e,table_sessions 未作成時はスキップ,update,Medium,,
api/kds/orders.php,52,D,PDOException $e,kds_stations / kds_routing_rules テーブル未作成時はスキップ,join_select,High,,1
api/kds/orders.php,84,D,PDOException $e,table_sessions 未作成時はスキップ,unknown,Low,,
api/kds/orders.php,131,D,PDOException $e,テーブル未作成,schema_sniff,Low,,
api/kds/orders.php,142,A,PDOException $e,,schema_sniff,Low,,
api/kds/orders.php,146,A,PDOException $e,,schema_sniff,Low,,
api/kds/orders.php,229,D,PDOException $e,テーブル未作成時はスキップ,select_fetch,High,,1
api/kds/orders.php,274,D,PDOException $e,satisfaction_ratings テーブル未作成,select_fetch,High,,1
api/kds/update-item-status.php,90,D,PDOException $e,call_alerts に type カラムがない場合は無視（グレースフルデグラデーション）,join_select,High,,
api/kds/update-status.php,123,D,PDOException $e,call_alerts に type カラムがない場合は無視,execute_unknown,Medium,,
api/lib/auth.php,216,D,Exception $e,DB接続エラー等は認証自体を阻害しない,update,Medium,,
api/lib/menu-resolver.php,51,A,PDOException $e,,schema_sniff,Low,,
api/lib/menu-resolver.php,161,D,PDOException $e,menu_translations テーブル未作成 → グレースフルデグレード,unknown,Low,,
api/owner/analytics-abc.php,116,D,PDOException $e,recipes/ingredients 未作成時はスキップ（原価 = 0で計算）,join_select,High,,
api/owner/cross-store-report.php,212,D,Exception $e,cart_events テーブル未作成 — スキップ,select_fetch,High,,
api/owner/ingredients.php,106,D,Exception $e,sync失敗は棚卸し結果に影響しない,unknown,Low,,
api/owner/ingredients.php,159,D,Exception $e,sync失敗は更新結果に影響しない,unknown,Low,,
api/owner/option-groups.php,306,D,PDOException $e,テーブル未作成時,join_select,High,,
api/owner/tenants.php,31,A,PDOException $e,,schema_sniff,Low,,
api/owner/tenants.php,76,A,PDOException $e,,schema_sniff,Low,,
api/public/store-status.php,60,D,PDOException $e,table_sessions テーブル未作成 → 0,join_select,High,,
api/store/basket-analysis.php,34,A,PDOException $e,,schema_sniff,Low,,
api/store/course-csv.php,54,D,PDOException $e,course_phases 未作成時はスキップ,select_fetch,High,,
api/store/course-csv.php,140,D,PDOException $e,course_phases 未作成時はスキップ,join_select,High,,
api/store/demand-forecast-data.php,39,A,PDOException $e,,join_select,High,,1
api/store/demand-forecast-data.php,142,A,PDOException $e,,select_fetch,High,,1
api/store/demand-forecast-data.php,167,A,PDOException $e,,join_select,High,,1
api/store/demand-forecast-data.php,186,A,PDOException $e,,select_fetch,High,,1
api/store/handy-order.php,153,D,PDOException $e,テーブル未作成時はスキップ,join_select,High,,
api/store/handy-order.php,168,D,PDOException $e,テーブル未作成時はスキップ,select_fetch,High,,
api/store/local-items.php,49,A,PDOException $e,,schema_sniff,Low,,
api/store/local-items.php,136,D,PDOException $e,カラム未作成時はスキップ,schema_sniff,Low,,
api/store/menu-overrides.php,130,D,PDOException $e,カラム未作成時はスキップ,update,Medium,,
api/store/menu-version.php,36,D,Exception $e,テーブル未存在時はスキップ,select_fetch,High,,
api/store/menu-version.php,49,D,Exception $e,テーブル未存在時はスキップ,select_fetch,High,,
api/store/process-payment.php,118,D,PDOException $e,table_sessions/time_limit_plans 未作成時はスキップ,join_select,High,,
api/store/process-payment.php,258,A,PDOException $e,,schema_sniff,Low,,
api/store/process-payment.php,265,A,PDOException $e,,schema_sniff,Low,,
api/store/process-payment.php,272,A,PDOException $e,,schema_sniff,Low,,
api/store/process-payment.php,345,A,PDOException $e,,update,Medium,,
api/store/process-payment.php,356,D,PDOException $e,table_sessions 未作成時はスキップ,update,Medium,,
api/store/process-payment.php,388,A,PDOException $e,,update,Medium,,
api/store/process-payment.php,455,D,PDOException $e,recipes/ingredients テーブル未作成時はスキップ,update,Medium,,
api/store/process-payment.php,462,D,Exception $e,品切れ同期失敗は会計を阻害しない,unknown,Low,,
api/store/shift/ai-suggest-data.php,213,A,PDOException $e,,select_fetch,High,,
api/store/staff-report.php,87,D,PDOException $e,satisfaction_ratings テーブルが存在しない場合,join_select,High,1,1
api/store/staff-report.php,123,A,PDOException $e,,schema_sniff,Low,,
api/store/table-sessions.php,158,A,PDOException $e,,schema_sniff,Low,,
api/store/table-sessions.php,241,D,PDOException $e,memo カラム未作成時はスキップ,schema_sniff,Low,,
api/store/tables-status.php,41,A,PDOException $e,,schema_sniff,Low,,
api/store/tables-status.php,63,D,PDOException $e,table_sessions 未作成時はスキップ,join_select,High,,1
api/store/tables-status.php,84,D,PDOException $e,skip,select_fetch,High,,1
api/store/tables-status.php,113,D,PDOException $e,order_items テーブル未作成時はスキップ,join_select,High,,1
api/store/tables-status.php,168,D,PDOException $e,カラム未存在時はデフォルト値,select_fetch,High,,1
api/store/translate-menu.php,122,D,PDOException $e,テーブル未作成の場合は全て翻訳,select_fetch,High,,
api/store/turnover-report.php,38,D,PDOException $e,カラムが存在しない場合はデフォルト値のまま,select_fetch,High,,
api/store/turnover-report.php,204,A,PDOException $e,,schema_sniff,Low,,
